110255,Arthur Dent,54,144402
110388,Audrey Horne,27,122402
120302,Shelly Johnson,43,197402
499398,Hank hill,45,131305
499268,Tim Robbinson,32,127503
12010,Sergio Ravarez,55,64000
499868,Shaz Bierbaum,60,61802
499950,Weidon Gente,52,54788
499998,Patricia Breugel,60,40000
12100,Gladys Cooper,32,77000
111692,Tonny Butterworth,62,40000
403353,Shigehito Kropatsch,52,59783
110515,Dale Cooper,32,980000
12110,Rodney Ferreri,37,99000
110183,Shirish Ossenbruggen,63,48291
110303,Krassimir Wegerle,60,1374402
10073,Shir McClurg,62,56473
12020,Antonio Lavante,34,36000
110511,DeForest Hagimont,59,48626
111400,Arie Staelin,57,72446
12016,Benjamin Horne,44,137444
110517,Dale Gribble,67,137402
110519,Stephen Malkmus,43,132204
12021,Nick Cave,78,117402
110503,Frank Frink,34,132402
110556,Rick Deckard,56,137406
10042,Magy Stamatiou,60,81662
10059,Alejandro McAlpine,63,71218
12030,Tonny Conner,25,44000
12000,Alex Dalas,55,54000
